level_0,n,abr_type,height_before,height_after,insert_time,search_time,delete_time
0,10,lista,5.53,4.81,0.007311617296028544,5.369715033793909e-06,1.1023369977465335e-05
1,60,lista,10.1,9.03,5.073306826034241e-06,6.513190023118416e-06,9.961648668346849e-06
2,110,lista,11.63,10.17,5.146149450824438e-06,6.886182599609364e-06,1.040789555662303e-05
3,160,lista,12.3,10.54,5.821682871612666e-06,6.976848252975287e-06,1.0042926494861603e-05
4,210,lista,12.76,10.55,5.606576950499619e-06,7.315023659919881e-06,1.0581341718114765e-05
5,260,lista,12.96,10.56,5.453269426775128e-06,7.318781996708332e-06,1.0467669541727585e-05
6,310,lista,13.3,10.41,5.37789041694733e-06,7.350788955059747e-06,1.0177802471950493e-05
7,360,lista,13.06,9.75,5.452011694791912e-06,7.2400281030948255e-06,9.854820879000829e-06
8,410,lista,13.21,9.82,5.446865709373236e-06,7.429343037725344e-06,9.975930101883895e-06
9,460,lista,13.49,9.42,5.4957738929082875e-06,7.469843742515165e-06,9.922599217055035e-06
10,510,lista,13.48,9.11,5.613668277669158e-06,7.4077663725265166e-06,9.363943459959947e-06
11,560,lista,13.28,8.71,6.3556012123870326e-06,7.4580238556336554e-06,9.359528069093618e-06
12,610,lista,13.28,8.39,5.921662050293322e-06,7.512834146214836e-06,9.363329994405496e-06
13,660,lista,13.28,7.96,5.659528499584419e-06,7.683995939260057e-06,9.191801638294374e-06
14,710,lista,13.17,7.71,6.996489110784289e-06,7.570604235210298e-06,9.035947565578393e-06
15,760,lista,13.39,7.47,6.875729751060901e-06,7.638214787436338e-06,8.929737161116991e-06
16,810,lista,13.5,7.03,7.459604799873045e-06,7.581935895602625e-06,8.692293265269627e-06
17,860,lista,13.22,6.67,5.720876652117641e-06,7.6074718638897875e-06,8.722101530957145e-06
18,910,lista,13.11,6.34,7.274570295811537e-06,7.5581186841908265e-06,8.589085633534743e-06
19,960,lista,13.14,6.0,6.272942197123636e-06,7.441084584115743e-06,8.343580543623829e-06
20,1010,lista,13.24,5.64,5.546360373613208e-06,7.466946709691621e-06,8.204611508986885e-06
21,1060,lista,13.24,5.22,8.102816791540805e-06,7.590034981595241e-06,8.183167919735253e-06
22,1110,lista,13.17,4.92,5.730959936376953e-06,7.486853246223373e-06,8.043231119348746e-06
23,1160,lista,13.15,4.52,7.179170431844921e-06,7.570117863530147e-06,7.790848761299552e-06
24,1210,lista,13.48,4.31,6.366848452720405e-06,7.537624243730606e-06,7.787102814375171e-06
25,1260,lista,13.01,4.14,5.747359914569946e-06,7.364035805299604e-06,7.605969777022625e-06
26,1310,lista,13.11,3.77,6.832140207304035e-06,7.495102538743333e-06,7.699616940990159e-06
27,1360,lista,13.36,3.44,7.684893698584507e-06,7.577590500498927e-06,7.55077814892502e-06
28,1410,lista,13.12,3.31,7.91103954632374e-06,7.543201335522554e-06,7.5132132109636336e-06
29,1460,lista,13.36,2.82,7.181315869302873e-06,7.615554686534069e-06,7.34611438149355e-06
30,1510,lista,13.3,2.83,6.897411385134486e-06,7.862805016001564e-06,7.477372863740315e-06
31,1560,lista,13.33,2.58,7.445764454881754e-06,7.549607048694713e-06,6.996808895121668e-06
32,1610,lista,13.35,2.55,8.63860090054874e-06,7.685622909590184e-06,7.082868582519995e-06
33,1660,lista,13.44,2.25,6.073000326465942e-06,7.597768220075961e-06,6.962090695284482e-06
34,1710,lista,13.3,2.03,6.930862995200746e-06,7.590911969149158e-06,6.7507765819503814e-06
35,1760,lista,13.44,1.75,7.073148278679624e-06,7.70836593365361e-06,6.734919409144491e-06
36,1810,lista,13.42,1.72,7.690090365533694e-06,7.779394823358343e-06,6.831033033439725e-06
37,1860,lista,13.36,1.36,6.849787649629903e-06,7.924556770552543e-06,6.7322233165321705e-06
38,1910,lista,13.18,1.35,7.076610114772229e-06,7.768159956270952e-06,6.663845849433828e-06
39,1960,lista,13.25,1.12,6.831394785419842e-06,7.822144164140123e-06,6.425239757270308e-06
40,2010,lista,13.28,1.06,6.653924641615045e-06,7.64320540153687e-06,6.249805420199312e-06
41,2060,lista,13.3,0.96,7.16625009549363e-06,7.553713341825006e-06,6.265700601908215e-06
42,2110,lista,12.97,0.89,6.843195363861496e-06,7.505026718980321e-06,6.118832787465447e-06
43,2160,lista,13.17,0.61,6.4615061384495635e-06,7.518137125931322e-06,5.962839851505392e-06
44,2210,lista,13.32,0.75,8.420452837495818e-06,7.6288254932277584e-06,6.049618119023776e-06
45,2260,lista,13.16,0.66,8.802317518115385e-06,7.546004143300988e-06,5.988191414710862e-06
46,2310,lista,13.16,0.56,6.787822428890792e-06,7.61787190840645e-06,5.736880623234367e-06
47,2360,lista,13.33,0.51,8.367570309924997e-06,7.465549555298035e-06,5.814618287470277e-06
48,2410,lista,13.02,0.47,7.190719575505134e-06,7.400630197797761e-06,5.6411093837263756e-06
49,2460,lista,13.14,0.43,7.06138128777742e-06,7.426264748366846e-06,5.571270830287398e-06
50,2510,lista,13.53,0.3,8.321429174716052e-06,7.52064108674471e-06,5.543252886993426e-06
51,2560,lista,13.19,0.37,6.19837021171854e-06,7.372217017135085e-06,5.523011013458757e-06
52,2610,lista,13.31,0.33,7.482105239549449e-06,7.453198803499271e-06,5.419946780806015e-06
53,2660,lista,12.82,0.29,6.724957585659543e-06,7.334943172780979e-06,5.283482317185859e-06
54,2710,lista,13.3,0.29,6.938050350208365e-06,7.583000353192929e-06,5.408546202726436e-06
55,2760,lista,13.29,0.23,7.085363546292209e-06,7.5469258106526126e-06,5.374900724311137e-06
56,2810,lista,13.3,0.16,7.580751252251606e-06,7.611802581144201e-06,5.246173348935286e-06
57,2860,lista,13.23,0.12,9.069753359048187e-06,7.454769596505005e-06,5.11657893734896e-06
58,2910,lista,13.32,0.19,6.938402732713254e-06,7.548464830899239e-06,5.1213747485330295e-06
59,2960,lista,13.21,0.15,9.099235401661927e-06,7.561579219038715e-06,5.083818243544581e-06
60,3010,lista,13.12,0.11,6.336565083150214e-06,7.469182713107524e-06,5.025625079647301e-06
61,3060,lista,13.18,0.18,8.802758394827845e-06,7.59398254927172e-06,5.062403595973568e-06
62,3110,lista,13.02,0.1,6.44269119589761e-06,7.325418416089334e-06,4.930291635018512e-06
63,3160,lista,13.49,0.06,7.053255535929912e-06,7.503941824532238e-06,4.874962189315059e-06
64,3210,lista,13.12,0.08,6.647176182647183e-06,7.45901679781361e-06,4.787665547685077e-06
65,3260,lista,13.67,0.08,6.663573733779068e-06,7.5833213381688696e-06,4.879400011773521e-06
