n,abr_type,height_before,height_after,insert_time,search_time,delete_time
10,lista,7,6,1.8125010683434084e-06,,
110,lista,15,14,1.954022813695429e-06,1.4523802314042336e-06,2.161903900005633e-06
210,lista,13,13,1.8656444507279645e-06,1.42368203102562e-06,2.3799999326001854e-06
310,lista,20,20,2.4157030746525478e-06,1.9366668614869317e-06,2.5107133946481293e-06
410,lista,17,15,2.1321765952875796e-06,1.5506320087757857e-06,2.4089762845482583e-06
510,lista,18,15,2.263184226771344e-06,1.6625000777518533e-06,2.2580004588235168e-06
610,lista,16,14,2.127118531754635e-06,1.7393159264157343e-06,2.4205127195654136e-06
710,lista,18,16,2.2324811453492566e-06,1.7733808745891393e-06,2.4414284520649483e-06
810,lista,19,17,2.3728969047786058e-06,2.2000006342577878e-06,2.7422076952946068e-06
910,lista,18,16,2.3905099997832507e-06,1.7378532681561543e-06,2.60621480285953e-06
1010,lista,23,19,2.706443742056097e-06,2.404736541824317e-06,3.5024994576815515e-06
1110,lista,18,17,3.065896015937273e-06,2.4890477236892496e-06,3.268518816589171e-06
1210,lista,17,15,2.9477222207268435e-06,2.319327537987788e-06,2.915319117241876e-06
1310,lista,18,14,2.7349068656849473e-06,2.1209302511744837e-06,2.6813483730490717e-06
1410,lista,19,16,2.6368224616902314e-06,2.019284979074395e-06,2.4177117390915533e-06
1510,lista,18,15,2.4348694664102208e-06,1.812708475720449e-06,2.5413334757710496e-06
1610,lista,18,16,2.2620346434329652e-06,1.7173013752197467e-06,2.1635781982526803e-06
1710,lista,17,14,2.165239618324788e-06,1.6275659999659946e-06,2.0499999181883613e-06
1810,lista,20,18,2.262115547083334e-06,1.827808967830739e-06,2.2487462518352777e-06
1910,lista,21,19,2.44227129603318e-06,1.9410060193246754e-06,2.3540322667598646e-06
2010,lista,18,15,2.2577304105220615e-06,1.7515383660793305e-06,2.1111673742253805e-06
2110,lista,23,19,2.494891926009866e-06,1.9847615303227768e-06,2.360237877361388e-06
2210,lista,17,14,2.2753102694430685e-06,1.753828526915347e-06,2.122823498211801e-06
2310,lista,22,16,2.343150124527696e-06,1.839285524900853e-06,2.2398665073412764e-06
2410,lista,21,19,2.516346028595506e-06,2.0842102209204124e-06,2.398283630279752e-06
2510,lista,18,12,2.162374085405691e-06,1.6530015212763295e-06,1.964693988806435e-06
2610,lista,18,13,2.234951121043231e-06,1.762603768695931e-06,2.174224835809667e-06
2710,lista,18,14,2.21603516932119e-06,1.7347665901826781e-06,2.045785462737112e-06
2810,lista,19,14,2.4076962032917327e-06,1.9086646355288473e-06,2.1590666696629895e-06
2910,lista,21,14,2.4674286244559912e-06,1.948596368413092e-06,2.205882418806102e-06
3010,lista,20,14,2.2816450085120027e-06,1.7994951042472086e-06,2.1094177735567553e-06
3110,lista,17,12,2.284064006955955e-06,1.8792422678201924e-06,2.0155377208817105e-06
3210,lista,19,14,2.560884017385268e-06,2.0292009584769777e-06,2.4143085128873274e-06
3310,lista,19,15,2.633436667923277e-06,2.123404213398593e-06,2.3590766234919546e-06
3410,lista,17,12,2.4222956401192478e-06,1.8289433146868283e-06,2.0472442375598696e-06
3510,lista,18,13,2.3822982012188896e-06,1.8475479155745672e-06,2.0868655766791374e-06
3610,lista,17,12,2.2702105496519883e-06,1.703709400971068e-06,1.8947884853614469e-06
3710,lista,18,10,2.2159589381572753e-06,1.862535005579637e-06,1.9330968412263743e-06
3810,lista,19,14,2.318719620609017e-06,1.721536325142605e-06,1.9551128112546517e-06
3910,lista,18,11,2.2920860753861264e-06,1.743814847060028e-06,1.87757507275008e-06
4010,lista,20,13,2.3270413608933237e-06,1.756538329526591e-06,1.8818761599492115e-06
4110,lista,20,14,2.3393180897307324e-06,1.7986485791216428e-06,1.94181368940789e-06
4210,lista,20,13,2.3121173977846225e-06,1.8201946986753067e-06,1.9431654851028263e-06
4310,lista,22,11,2.253162572541222e-06,1.796117576304823e-06,1.899403755954269e-06
4410,lista,17,11,2.226968066553342e-06,1.8060680669259666e-06,1.8545246909679348e-06
4510,lista,19,14,2.15594686054131e-06,1.7087902911230666e-06,1.9124271829884415e-06
4610,lista,19,13,2.4815922711622073e-06,2.010538237667413e-06,2.030650476048174e-06
4710,lista,20,11,2.228231198132203e-06,1.7007610079852622e-06,1.7882418623040585e-06
4810,lista,19,13,2.2638030401941457e-06,1.8318467003574117e-06,1.908432774094714e-06
4910,lista,21,10,2.2440406625813153e-06,1.6579334539048264e-06,1.7526925834281314e-06
5010,lista,18,10,2.2853976092199375e-06,1.7490504582889991e-06,1.880462425579943e-06
5110,lista,17,10,2.2040324650644405e-06,1.6602865437440337e-06,1.683466156051342e-06
5210,lista,17,13,2.3953840196301867e-06,1.771758654477758e-06,1.815384793541455e-06
5310,lista,20,8,2.238366267655846e-06,1.8058932193124688e-06,1.7361801658174284e-06
5410,lista,21,9,2.571576879301532e-06,2.4571032223344444e-06,2.1079319547235324e-06
5510,lista,19,9,2.6174607410809697e-06,1.7919415375004581e-06,1.7923812542687214e-06
5610,lista,16,10,2.3751479047267924e-06,1.7808873883990126e-06,1.7507791615839908e-06
5710,lista,19,11,2.338153692658375e-06,1.7765341646001011e-06,1.7978997181327036e-06
5810,lista,19,10,2.3220839021751906e-06,1.766757649850848e-06,1.6928820330477753e-06
5910,lista,21,10,2.4455195445732625e-06,1.934367064771649e-06,1.8324045074384867e-06
6010,lista,23,10,2.7112302431146913e-06,2.1580646302928938e-06,1.962370393579426e-06
6110,lista,24,9,2.369272483056779e-06,1.801505167894595e-06,1.72925176390773e-06
6210,lista,18,10,2.5401983726464457e-06,1.9682264148543644e-06,1.7906145708623073e-06
6310,lista,18,7,2.2576946641988297e-06,1.6838577466049472e-06,1.561738991168737e-06
6410,lista,20,7,2.266262908699469e-06,1.7503326577157636e-06,1.6571310888015268e-06
6510,lista,19,8,2.3446177657204718e-06,1.8108856653761359e-06,1.7115356910005445e-06
6610,lista,20,8,2.323117958082524e-06,1.7666405311058066e-06,1.7158646089110844e-06
6710,lista,17,8,2.266603862878648e-06,1.7463982734312667e-06,1.5962850795330728e-06
6810,lista,21,9,2.3090367259050365e-06,1.7979834476538709e-06,1.6814531463160938e-06
6910,lista,16,10,2.2056369126305662e-06,1.6796728886479452e-06,1.5572831144486116e-06
7010,lista,19,9,2.430381382199781e-06,1.9034481850156708e-06,1.6638387978313951e-06
7110,lista,23,8,2.3903132628322868e-06,1.8355567435416042e-06,1.613587195185595e-06
7210,lista,18,9,2.2478838086206056e-06,1.660333575742985e-06,1.5880535153812158e-06
7310,lista,17,6,2.1246318656210757e-06,1.649364643999228e-06,1.507767712102008e-06
7410,lista,18,7,2.2800209608509403e-06,1.7852685260140695e-06,1.6528787740884188e-06
7510,lista,19,6,2.402482335105722e-06,1.7639227605594732e-06,1.563462831083769e-06
7610,lista,19,7,2.298449577426194e-06,1.7730233261819644e-06,1.5899247137671355e-06
7710,lista,20,8,2.42484288093172e-06,1.9478057476564247e-06,1.7552946464953838e-06
7810,lista,19,7,2.524661989367372e-06,1.919197493285738e-06,1.655548539220588e-06
7910,lista,18,7,2.47867478504101e-06,1.909968135625529e-06,1.6357098829539754e-06
8010,lista,17,6,2.459873006926731e-06,1.916785441802573e-06,1.6262997943399451e-06
8110,lista,21,6,2.5334429620307693e-06,1.9013060495606045e-06,1.6344127537209599e-06
8210,lista,18,4,2.2364428884405736e-06,1.8590936599262313e-06,1.493410019413166e-06
8310,lista,18,6,2.3640104463491683e-06,1.7914529689400024e-06,1.471605451699053e-06
